### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-newBatt-Fedora_videoNoSound_-_1.txt
# minimum_soc	:	30
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
01:47:20	 69.84%	04:14:20
01:47:30	 69.79%	04:13:40
01:47:40	 69.75%	04:14:58
01:47:50	 69.70%	04:17:37
01:48:00	 69.64%	04:19:46
01:48:10	 69.62%	04:23:13
01:48:20	 69.56%	04:26:57
01:48:30	 69.51%	04:25:59
01:48:40	 69.45%	04:21:57
01:48:50	 69.42%	04:20:57
01:49:00	 69.37%	04:20:12
01:49:10	 69.31%	04:18:06
01:49:20	 69.26%	04:18:21
01:49:30	 69.23%	04:18:24
01:49:40	 69.17%	04:16:00
01:49:50	 69.12%	04:15:01
01:50:00	 69.60%	04:15:45
01:50:10	 69.30%	04:13:21
01:50:20	 68.98%	04:13:10
01:50:30	 68.92%	04:10:54
01:50:40	 68.87%	04:10:13
01:50:50	 68.81%	04:11:53
01:51:00	 68.78%	04:14:30
01:51:10	 68.73%	04:16:29
01:51:20	 68.70%	04:19:31
01:51:30	 68.64%	04:20:05
01:51:40	 68.57%	04:19:05
01:51:50	 68.53%	04:16:15
01:52:00	 68.48%	04:14:16
01:52:10	 68.43%	04:13:01
01:52:20	 68.39%	04:10:31
01:52:30	 68.34%	04:11:30
01:52:40	 68.29%	04:12:14
01:52:50	 68.25%	04:12:18
01:53:00	 68.18%	04:09:57
01:53:10	 68.14%	04:09:11
01:53:20	 68.70%	04:08:01
01:53:30	 68.10%	04:06:45
01:53:40	 67.98%	04:05:21
01:53:50	 67.93%	04:05:49
01:54:00	 67.87%	04:06:54
01:54:10	 67.85%	04:10:02
01:54:20	 67.79%	04:10:55
01:54:30	 67.75%	04:13:33
01:54:40	 67.70%	04:15:50
01:54:50	 67.65%	04:16:29
01:55:00	 67.60%	04:14:31
01:55:10	 67.54%	04:10:42
01:55:20	 67.51%	04:09:08
01:55:30	 67.46%	04:07:14
01:55:40	 67.40%	04:07:35
01:55:50	 67.35%	04:08:09
01:56:00	 67.29%	04:04:03
01:56:10	 67.23%	04:02:27
01:56:20	 67.20%	04:01:53
01:56:30	 67.14%	04:02:07
01:56:40	 67.60%	03:47:22
